"","country","year","party","vote","seat","electionyear","epvote","fav_intEU","fav_ep_power","lrgen","lr_econ","lr_econ_slc","postmat_trad","postmat_trad_slc","spend_or_taxes","spend_or_taxes_slc","dereg_mkt","dereg_mkt_slc","stateinterv","laworder","laworder.1","laworder_slc","oppos_libpol","oppos_libpol_slc","religious","religion_slc","reject_immig","immigra_salience","assimil","assimil_slc","envnotimp","env_slc","cosmop_nation","cosmop_nation_slc","nation","mip_one","mip_two","mip_three"
"97","dk",2010,"LA",2.8,2.79999995231628,2007,0.589999973773956,0.854166666666667,0.75,0.819999980926514,0.918181800842285,NA,0.311111116409302,NA,0.93636360168457,0.9,0.909090900421143,0.8,NA,0.371428561210632,0.371428561210632,0.5,0.2125,0.5125,0.233333325386047,0.3,0.4,0.519999980926514,0.35555556,0.59000001,0.7,0.30999999,NA,NA,NA,"","",""
"98","dk",2014,"SD",24.5,24.6,2011,19.1,0.833333333333333,0.785714308420817,0.440000009536743,0.390000009536743,0.73333335,0.519999980926514,0.45555553,0.409999990463257,NA,0.4125,NA,0.33,0.522222232818604,0.522222232818604,NA,0.290000009536743,NA,0.266666674613953,NA,0.55,NA,0.54000001,NA,0.42222223,NA,NA,NA,0.48000002,"public services vs taxes","redistribution","state intervention"
"99","dk",2014,"RV",9.4,9.5,2011,6.5,NA,0.88095235824585,0.569999980926514,0.65,0.78888888,0.189999997615814,0.64444447,0.609999990463257,NA,0.6,NA,0.48888888,0.3125,0.3125,NA,0.120000004768372,NA,0.177777779102325,NA,0.259999990463257,NA,0.20999999,NA,0.3,NA,NA,NA,0.2,"public services vs taxes","civil liberties","multiculturalism"
"100","dk",2014,"KF",4.9,4.5,2011,9.1,0.75,0.61904764175415,0.7,0.759999990463257,0.7625,0.719999980926514,0.48888888,0.75,NA,0.6625,NA,0.63000002,0.722222232818604,0.722222232818604,NA,0.530000019073486,NA,0.566666650772095,NA,0.709999990463257,NA,0.73000002,NA,0.66666665,NA,NA,NA,0.70999999,"public services vs taxes","nationalism","tie: redistribution and social lifestyle"
"101","dk",2014,"SF",9.1,8.9,2011,11,0.60606058438619,0.738095204035441,0.290000009536743,0.229999995231628,0.62222223,0.309999990463257,0.51111112,0.209999990463257,NA,0.225,NA,0.16,0.311111116409302,0.311111116409302,NA,0.160000002384186,NA,0.144444441795349,NA,0.279999995231628,NA,0.28,NA,0.17777778,NA,NA,NA,0.32,"redistribution","public services vs taxes","environment"
"102","dk",2014,"V",26.4,26.3,2011,16.7,0.803030331929525,0.690476179122925,0.7,0.730000019073486,0.8,0.569999980926514,0.51111112,0.740000009536743,NA,0.725,NA,0.64000001,0.7,0.7,NA,0.359999990463257,NA,0.322222232818604,NA,0.769999980926514,NA,0.70999999,NA,0.72222223,NA,NA,NA,0.65,"public services vs taxes","immigration","tie: deregulation and redistribution"
"103","dk",2014,"EL",6.6,6.7,2011,NA,0.136363645394643,0.4375,0.120000004768372,0.1,0.64444447,0.209999990463257,0.57777777,0.0600000023841858,NA,0.1,NA,0.060000002,0.155555558204651,0.155555558204651,NA,0.1,NA,0.0666666686534882,NA,0.160000002384186,NA,0.15,NA,0.077777779,NA,NA,NA,0.25999999,"redistribution","public services vs taxes","state intervention"
"104","dk",2014,"DF",12.2,12.3,2011,26.6,0.151515146096547,0.375,0.690000009536743,0.45,0.48888888,0.839999961853027,0.72222223,0.4,NA,0.45,NA,0.45999999,0.855555534362793,0.855555534362793,NA,0.619999980926514,NA,0.477777767181396,NA,0.969999980926514,NA,0.95,NA,0.68888888,NA,NA,NA,0.91111107,"immigration","public services vs taxes","EU integration"
"105","dk",2014,"FolkB",NA,NA,2011,8.1,0.0151515205701192,0.416666666666667,0.2,0.133333337306976,0.47142859,0.275,0.8125,0.35,NA,0.225,NA,0.125,0.15,0.15,NA,0.133333337306976,NA,0.15,NA,0.15,NA,0.2,NA,0.15,NA,NA,NA,0.76666665,"EU integration","tie: anti-elite and environment and international security","nationalism"
"106","dk",2014,"LA",4.9,5,2011,2.9,0.466666658719381,0.523809512456258,0.790000009536743,0.910000038146973,0.8333333,0.255555558204651,0.53333335,0.933333301544189,NA,0.911111068725586,NA,0.86000004,0.514285707473755,0.514285707473755,NA,0.15,NA,0.122222220897675,NA,0.409999990463257,NA,0.48888888,NA,0.775,NA,NA,NA,0.45555553,"public services vs taxes","deregulation","state intervention"
